pl_name,Star's name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orb_period(in days),pl_orb_period(in E.years),pl_orb_semi_maj_axis(in AU),pl_orb_eccent,pl_rad(in Earth Radius),pl_bmass(in Earth Mass),pl_dens(in (Earth mass/Earth radius)),st_teff(in kelvin),st_rad(in solar radius),st_mass(in solar mass),sy_dist(in Parsec),pl_teff(in kelvin),st_lum(in Solar luminosity),pl_recei_flux(in Earth's received flux)
TOI-558 b,TOI-558,1,1,Transit,2021.0,14.574071,0.039937731,0.1291,0.298,12.17295304,1147.360549,3.504803484,6466.0,1.496,1.349,402.63,1061.328568,3.509908849,210.5927198
TOI-559 b,TOI-559,1,1,Transit,2021.0,6.9839095,0.019192598,0.0723,0.151,12.22899794,1910.148726,5.755011111,5925.0,1.233,1.026,233.266,1179.810408,1.681006613,321.5828111
TOI-5592 b,TOI-5592,1,1,Transit,2025.0,2.6085846,0.007143564,0.03935,0.062,17.14974047,285.7277379,0.312127005,6237.0,1.393,1.194,597.026,1789.329873,2.634480929,1701.396698
TOI-561 b,TOI-561,1,4,Transit,2020.0,0.4465697,0.001222489,0.01064,0.0,1.397,2.02,4.082383029,,0.843,0.806,85.799,0.0,0.0,0.0
TOI-561 c,TOI-561,1,4,Transit,2020.0,10.778838,0.029524675,0.0889,0.023,2.865,5.93,1.389416376,,0.843,0.806,85.799,0.0,0.0,0.0
TOI-561 d,TOI-561,1,4,Transit,2020.0,25.71268,0.0704203,0.1587,0.111,2.615,13.33,4.107396878,,0.843,0.806,85.799,0.0,0.0,0.0
TOI-561 e,TOI-561,1,4,Transit,2020.0,77.144,0.211155982,0.33,0.074,2.517,12.4,4.284731747,,0.843,0.806,85.799,0.0,0.0,0.0
TOI-5616 b,TOI-5616,1,1,Transit,2024.0,2.002849,0.00549688,0.0272,0.0,10.78,624.0,2.744605353,3996.0,0.646,0.666,390.415,939.0068602,0.095467776,129.0384079
TOI-5634 A b,TOI-5634 A,2,1,Transit,2024.0,2.2035373,0.006016113,0.0272,0.0,10.42,588.0,2.863688451,3896.0,0.54,0.556,306.144,837.0335287,0.060277213,81.47330882
TOI-564 b,TOI-564,1,1,Transit,2020.0,1.651144,0.004525145,0.02734,0.072,11.43318,464.98529,1.714311309,5640.0,1.088,0.998,199.581,1715.559461,1.07464261,1437.695906
TOI-5678 b,TOI-5678,1,1,Transit,2023.0,47.73022,0.130609489,0.249,0.14,4.91,20.0,0.930973069,5485.0,0.938,0.905,165.393,513.3219746,0.714499706,11.52400293
TOI-5688 A b,TOI-5688 A,2,1,Transit,2024.0,2.94815527,0.00801875,0.03379,0.128,10.3,124.0,0.625261387,3713.0,0.57,0.6,226.318,735.325725,0.055403775,48.52471291
TOI-5704 b,TOI-5704,1,1,Transit,2023.0,3.771116,0.0,,,3.2274,,0.0,4590.0,0.7575,0.73,89.637,,0.228510345,
TOI-5713 b,TOI-5713,1,1,Transit,2024.0,10.441989,0.028590797,0.06008,0.24,1.77,,0.0,3225.0,0.2992,0.2653,40.8668,347.0220174,0.008688242,2.406977642
TOI-5716 b,TOI-5716,1,1,Transit,2025.0,6.7663,0.0,,,0.96,,0.0,3436.0,0.22,0.19,39.4122,,0.006052682,
TOI-5720 b,TOI-5720,1,1,Transit,2024.0,1.4344555,0.003996225,0.018288,,1.09,4.3,18.29534319,3325.0,0.383,0.383,35.8256,733.701503,0.01608622,48.09739668
TOI-5726.01,TOI-5726,1,1,Transit,2024.0,5.491125215,0.015062116,0.062186,,2.554,,0.0,5874.0,1.106,1.06,108.848,1194.473923,1.306579599,337.8707747
TOI-5728 b,TOI-5728,1,1,Transit,2025.0,11.49761,0.0,,,1.31,,0.0,3419.0,0.37,0.36,54.7045,,0.016783777,
TOI-5734 b,TOI-5734,1,1,Transit,2026.0,6.1842161,0.017431876,0.0607,,2.76,,0.0,4790.0,0.708,0.736,32.5102,788.8043108,0.236754596,64.25708749
TOI-5736 b,TOI-5736,1,1,Transit,2025.0,0.64899,0.0,,,1.56,,0.0,3949.0,0.58,0.57,92.3604,,0.073399715,
TOI-5786 b,TOI-5786,2,1,Transit,2025.0,12.779107,0.034706013,0.114,,8.54,73.0,0.645804173,6235.0,1.36,1.23,192.475,1038.400683,2.507918955,192.97622
TOI-5788 b,TOI-5788,1,2,Transit,2026.0,6.340758,0.017358426,0.064,0.061,1.528,3.72,5.745455642,5615.0,0.87,0.87,97.614,998.2305996,0.67503672,164.8038866
TOI-5788 c,TOI-5788,1,2,Transit,2026.0,16.213362,0.04439986,0.1197,0.046,2.272,6.4,3.006814194,5615.0,0.87,0.87,97.614,729.9175239,0.67503672,47.11281962
TOI-5789 b,TOI-5789,1,4,Radial Velocity,2026.0,2.76369,0.007563594,0.03608,0.0,,2.12,,5185.0,0.833,0.821,20.4581,1201.294464,0.449961023,345.6541997
TOI-5789 c,TOI-5789,1,4,Transit,,12.927748,0.035372452,0.1009,0.067,2.86,5.0,1.177669707,5185.0,0.833,0.821,20.4581,718.3517547,0.449961023,44.19697678
TOI-5789 d,TOI-5789,1,4,Radial Velocity,2026.0,29.65,0.081211062,0.1756,0.096,,4.29,,5185.0,0.833,0.821,20.4581,544.5283359,0.449961023,14.59237133
TOI-5789 e,TOI-5789,1,4,Radial Velocity,2026.0,62.98,0.172444765,0.2901,0.071,,11.61,,5185.0,0.833,0.821,20.4581,423.6516241,0.449961023,5.346621471
TOI-5795 b,TOI-5795,1,1,Transit,2025.0,6.1406325,0.017057193,0.064,0.25,5.62,23.66,0.73444181,5715.0,1.082,0.901,156.53,1133.055953,1.12049342,273.5579638
TOI-5799 b,TOI-5799,1,2,Transit,2024.0,4.164507,0.011387468,0.0348,,1.733,,0.0,3452.0,0.321,0.325,27.8123,505.5279357,0.013127531,10.83988251
TOI-5799 c,TOI-5799,1,2,Transit,2025.0,14.010449,0.038359104,0.0782,,1.76,,0.0,3452.0,0.321,0.325,27.8123,337.23404,0.013127531,2.146691105
TOI-5800 b,TOI-5800,1,1,Transit,2025.0,2.6278838,0.00723349,0.0344,0.3,2.46,9.5,3.516170151,4850.0,0.773,0.778,42.9052,1108.571586,0.296630492,250.6680064
TOI-5803 b,TOI-5803,1,1,Transit,2023.0,5.38305,0.0,,,3.2732,,0.0,5134.0,0.7625,0.87,84.0126,,0.362404017,
